"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"text"
"kurdistantvHD";"23333";"None";"0";"kurdistantvHD";"seed";"";"";"None";"None";""
"kurdistantvHD/1509873677344690201";"23334";"23333";"1";"1509873677344690201";"data";"statuses.*";"fetched (200)";"2022-04-01 18:17:35.892500";"Twitter:/search/tweets";"كازمی بۆ منداڵه‌ بێ باوكه‌كان: ئێوه‌ سه‌ركرده‌كانی داهاتووی عێراقن https://t.co/ny1vo8Xohc"
"kurdistantvHD/1509869917801271338";"23335";"23333";"1";"1509869917801271338";"data";"statuses.*";"fetched (200)";"2022-04-01 18:17:35.892500";"Twitter:/search/tweets";"عێراق و توركیا له‌سه‌ر پرسی به‌شه‌ ئاوی دیجله‌ كۆده‌بنه‌وه‌ https://t.co/IOJabLuClB"
"kurdistantvHD/1509866032437121031";"23336";"23333";"1";"1509866032437121031";"data";"statuses.*";"fetched (200)";"2022-04-01 18:17:35.892500";"Twitter:/search/tweets";"چوارچێوه‌ی هه‌ماهه‌نگی بۆ تاوتوێی ده‌ستپێشخه‌رییه‌كه‌ی #سه‌در كۆده‌بێته‌وه‌ https://t.co/NAyBz4dOSa"
"kurdistantvHD/1509847062875099142";"23337";"23333";"1";"1509847062875099142";"data";"statuses.*";"fetched (200)";"2022-04-01 18:17:35.892500";"Twitter:/search/tweets";"ئێواره‌ی #ئه‌مڕۆ كۆبوونه‌وه‌ی لیژنه‌ی باڵای بینینی مانگ به‌ڕێوه‌ده‌چێت بۆ دیاریكردنی یه‌كه‌م ڕۆژی #مانگی_ڕه‌مه‌زان   https://t.co/Hyt3piDuA8"
"kurdistantvHD/1509842859956084740";"23338";"23333";"1";"1509842859956084740";"data";"statuses.*";"fetched (200)";"2022-04-01 18:17:35.892500";"Twitter:/search/tweets";"یه‌كه‌م وڵات سبه‌ی وه‌ك یه‌كه‌م ڕۆژی مانگی ڕه‌مه‌زانی دیاری كرد https://t.co/JwKfJ92JMf"
"kurdistantvHD/1509841143143579648";"23339";"23333";"1";"1509841143143579648";"data";"statuses.*";"fetched (200)";"2022-04-01 18:17:35.892500";"Twitter:/search/tweets";"به‌ فڕۆكه‌ی نه‌ناسراو هێرشكراوه‌ته‌ سه‌ر كارگه‌یه‌كی ئێرانی https://t.co/YKQFrNjuax"
"kurdistantvHD/1509819776281067534";"23340";"23333";"1";"1509819776281067534";"data";"statuses.*";"fetched (200)";"2022-04-01 18:17:35.892500";"Twitter:/search/tweets";"به‌تۆمه‌تی خیانه‌ت.. زیلینسكی چه‌ند فه‌رمانده‌یه‌كی سه‌ربازی دوور ده‌خاته‌وه‌ https://t.co/wehcIiGaXr"
"kurdistantvHD/1509815164970975264";"23341";"23333";"1";"1509815164970975264";"data";"statuses.*";"fetched (200)";"2022-04-01 18:17:35.892500";"Twitter:/search/tweets";"نرخی #نه‌وت له‌ دابه‌زین به‌رده‌وامه‌ https://t.co/vng2Rjjs8O"
"kurdistantvHD/1509811157565063171";"23342";"23333";"1";"1509811157565063171";"data";"statuses.*";"fetched (200)";"2022-04-01 18:17:35.892500";"Twitter:/search/tweets";"ئه‌مڕۆ هه‌ینی كاتژمێر 7ـی ئێواره‌ (به‌كاتی كوردستان) مه‌ڕاسیمی تیروپشكی یارییه‌كانی مۆندیالی 2022 له‌ شاری دۆحه‌ی پ… https://t.co/j4TOSMC4Uj"
