"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"text"
"kurdistan24tv";"23081";"None";"0";"kurdistan24tv";"seed";"";"";"None";"None";""
"kurdistan24tv/1509895756785856515";"23082";"23081";"1";"1509895756785856515";"data";"statuses.*";"fetched (200)";"2022-04-01 18:14:21.973130";"Twitter:/search/tweets";"""سەرۆکی رووسیا هەڵەیەکی گەورەی کردووە لە هەڵسەنگاندن و توانای هێزە سەربازییەکەی"" https://t.co/qNWwfb5Qwh"
"kurdistan24tv/1509837422762373121";"23083";"23081";"1";"1509837422762373121";"data";"statuses.*";"fetched (200)";"2022-04-01 18:14:21.973130";"Twitter:/search/tweets";"La #CocinaSiriaConNawal nos trae un #postre #Knafa anímate a prepararlo #Siria #Iraq #Turquia #Palestina… https://t.co/zp16mjLqzA"
"kurdistan24tv/1509815240736886785";"23084";"23081";"1";"1509815240736886785";"data";"statuses.*";"fetched (200)";"2022-04-01 18:14:21.973130";"Twitter:/search/tweets";"@web3_coin #bsc #CRYPTONEWS #DAO @karo331 @kurdistan24tv @goo"
"kurdistan24tv/1509813081261674496";"23085";"23081";"1";"1509813081261674496";"data";"statuses.*";"fetched (200)";"2022-04-01 18:14:21.973130";"Twitter:/search/tweets";"https://t.co/94eLyRPvpzپارتی-و-سیاده‌-راگه‌یه‌ندراوێكی-هاوبه‌ش-بڵاو-ده‌كه‌نه‌وه‌"
"kurdistan24tv/1509812032966647808";"23086";"23081";"1";"1509812032966647808";"data";"statuses.*";"fetched (200)";"2022-04-01 18:14:21.973130";"Twitter:/search/tweets";"https://t.co/ZPPJPkJxp7له‌-زاخۆ-ژنێكی-30-ساڵیی-به‌-ده‌ستی-ئامۆزایه‌كی-كوژرا"
"kurdistan24tv/1509598831083724804";"23087";"23081";"1";"1509598831083724804";"data";"statuses.*";"fetched (200)";"2022-04-01 18:14:21.973130";"Twitter:/search/tweets";"""كوتله‌ی سه‌در به‌هیچ شێوه‌یه‌ك ده‌ستوه‌ردان ناكات.. هه‌وڵه‌كانی خۆتان بده‌ن"" https://t.co/9Dg4HpuKaL"
"kurdistan24tv/1509590222945796100";"23088";"23081";"1";"1509590222945796100";"data";"statuses.*";"fetched (200)";"2022-04-01 18:14:21.973130";"Twitter:/search/tweets";"https://t.co/kKQZO1WjUQپەیامی-پیرۆزبایی-سەرۆکی-حکومەتی-هەرێمی-کوردستان-بە-بۆنەی-سەری-ساڵی-نوێی-بابلی-ئاشووری(-ئەکیتۆ)"
"kurdistan24tv/1509589941361258496";"23089";"23081";"1";"1509589941361258496";"data";"statuses.*";"fetched (200)";"2022-04-01 18:14:21.973130";"Twitter:/search/tweets";"https://t.co/kKQZO1WjUQسه‌رۆكی-حكومه‌تی-هه‌رێمی-كوردستان:-جه‌ژنی-ئه‌كیتۆ-پیرۆز-بێت"
"kurdistan24tv/1509581247521214479";"23090";"23081";"1";"1509581247521214479";"data";"statuses.*";"fetched (200)";"2022-04-01 18:14:21.973130";"Twitter:/search/tweets";"""له‌ سبه‌یه‌وه‌ ئه‌و بڕیاره‌ جێبه‌جێ ده‌كرێت و ئه‌گه‌ر ئه‌وروپا پابه‌ند نه‌بێت هه‌نارده‌ی نه‌وت گاز راده‌گرین"" https://t.co/Oi92FbiQ8W"
"kurdistan24tv/1509558609935486984";"23091";"23081";"1";"1509558609935486984";"data";"statuses.*";"fetched (200)";"2022-04-01 18:14:21.973130";"Twitter:/search/tweets";"https://t.co/Wj1IAcuq96پەیامی-سەرۆك-بارزانی-بە-بۆنەی-سەری-ساڵی-بابلی-ئاشووری"
"kurdistan24tv/1509525871576576004";"23092";"23081";"1";"1509525871576576004";"data";"statuses.*";"fetched (200)";"2022-04-01 18:14:21.973130";"Twitter:/search/tweets";"""باوه‌ڕ به‌ به‌ڵێنه‌كانی رووسیا ناكه‌ین.. مۆسكۆ ده‌یه‌وێت هێرشی سه‌ر هه‌رێمی دۆنباس بكات"" https://t.co/IWvSxjazN4"
"kurdistan24tv/1509525826294886400";"23093";"23081";"1";"1509525826294886400";"data";"statuses.*";"fetched (200)";"2022-04-01 18:14:21.973130";"Twitter:/search/tweets";"https://t.co/no2RsFTcXd"
"kurdistan24tv/1509492819949404161";"23094";"23081";"1";"1509492819949404161";"data";"statuses.*";"fetched (200)";"2022-04-01 18:14:21.973130";"Twitter:/search/tweets";"وەزارەتی ئەوقاف چەند رێنماییەک لەبارەی مانگی رەمەزان بڵاودەکاتەوە https://t.co/WNGzYGa2ny"
"kurdistan24tv/1509456263322779648";"23095";"23081";"1";"1509456263322779648";"data";"statuses.*";"fetched (200)";"2022-04-01 18:14:21.973130";"Twitter:/search/tweets";"بەڕێوەبەری فڕۆکەخانەی نێودەوڵەتی هەولێر گەشتیاران ئاگادار دەکاتەوە https://t.co/GUV5bFZidm"
"kurdistan24tv/1509445278289567744";"23096";"23081";"1";"1509445278289567744";"data";"statuses.*";"fetched (200)";"2022-04-01 18:14:21.973130";"Twitter:/search/tweets";"هاتووچۆ و داواکاری گشتی و دادگای لێکۆڵینەوە بڕیار دەدەن https://t.co/gpqCScB90W"
"kurdistan24tv/kurdistan24tv";"23097";"23081";"1";"kurdistan24tv";"offcut";"";"fetched (200)";"2022-04-01 18:14:21.973130";"Twitter:/search/tweets";""
"kurdistan24tv/1509437250236567554";"23098";"23081";"1";"1509437250236567554";"data";"statuses.*";"fetched (200)";"2022-04-01 18:14:22.338152";"Twitter:/search/tweets";"بەهای دۆلار و نرخی زێڕ لە بازاڕەکانی کوردستان https://t.co/6cg2fTK9rU"
"kurdistan24tv/1509432905986199554";"23099";"23081";"1";"1509432905986199554";"data";"statuses.*";"fetched (200)";"2022-04-01 18:14:22.338152";"Twitter:/search/tweets";"Computer Science &amp; IT 💻 🤖 https://t.co/5qVMVMGEJG"
"kurdistan24tv/1509430195723382789";"23100";"23081";"1";"1509430195723382789";"data";"statuses.*";"fetched (200)";"2022-04-01 18:14:22.338152";"Twitter:/search/tweets";"لە قوتابخانەکانی سنووری هەولێر چالاکی ""پەروەردەی ژینگەیی"" بەڕێوەدەچێت فۆتۆ: رێباز سیان https://t.co/8MZdIOx3ko"
"kurdistan24tv/1509430186244296706";"23101";"23081";"1";"1509430186244296706";"data";"statuses.*";"fetched (200)";"2022-04-01 18:14:22.338152";"Twitter:/search/tweets";"https://t.co/812K3tvaht"
