"path;""id"";""parent_id"";""level"";""object_id"";""object_type"";""object_key"";""query_status"";""query_time"";""query_type"";""text""",,,
"Rudawkurdish;""21685"";""None"";""0"";""Rudawkurdish"";""seed"";"""";"""";""None"";""None"";""""",,,
"Rudawkurdish/1509909060518359051;""21686"";""21685"";""1"";""1509909060518359051"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:11.648300"";""Twitter:/search/tweets"";""@Rudawkurdish Sbay ba haw nabe jare 3azr nema 3aji""",,,
"Rudawkurdish/1509906622281400320;""21687"";""21685"";""1"";""1509906622281400320"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:11.648300"";""Twitter:/search/tweets"";""بەڕێوەبەری پۆلیسی هەولێر بۆ رووداو: سێ تەقەکەری پرسەکەی هەولێر دەستگیرکران https://t.co/1mGIH6w44e""",,,
"Rudawkurdish/1509903982491316227;""21688"";""21685"";""1"";""1509903982491316227"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:11.648300"";""Twitter:/search/tweets"";""بەشداربە لە پێشبڕکێی موناجاتی پاشیڤی رووداو https://t.co/gTxQJKWZJC""",,,
"Rudawkurdish/1509903694225158211;""21689"";""21685"";""1"";""1509903694225158211"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:11.648300"";""Twitter:/search/tweets"";""@Rudawkurdish سڵاو  بەڵێ فەرموو هەر شتێکت ویست لێرە نامەیەک جێبێڵە تا خۆم یەمە خەت جوابت ئەیەمەوە ❤""",,,
"Rudawkurdish/1509901267577024518;""21690"";""21685"";""1"";""1509901267577024518"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:11.648300"";""Twitter:/search/tweets"";""@Rudawkurdish Bale""",,,
"Rudawkurdish/1509899590836830208;""21691"";""21685"";""1"";""1509899590836830208"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:11.648300"";""Twitter:/search/tweets"";""بەشداربە لە پێشبڕکێی موناجاتی پاشیڤی رووداو  لەگەڵ دوو هونەرمەندی گەورەی کوردستان پەیامی عەزیزی و سەفقان ئۆرکەش… https://t.co/Y4v1RyL2ql""",,,
"Rudawkurdish/1509898292330704899;""21692"";""21685"";""1"";""1509898292330704899"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:11.648300"";""Twitter:/search/tweets"";""تاوەکو ئێوارەی ئەمڕۆ یەکلایی دەبێتە کە سبەی یەکەم رۆژی مانگی رەمەزانە یاخود درێژکراوەی مانگی شەعبانە https://t.co/0QwzZt0xOh""",,,
"Rudawkurdish/1509898062382182408;""21693"";""21685"";""1"";""1509898062382182408"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:11.648300"";""Twitter:/search/tweets"";""تاوەکو ئێوارەی ئەمڕۆ یەکلایی دەبێتە کە سبەی یەکەم رۆژی مانگی رەمەزانە یاخود درێژکراوەی مانگی شەعبانە https://t.co/o2WlXpRteN""",,,
"Rudawkurdish/1509896143156748300;""21694"";""21685"";""1"";""1509896143156748300"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:11.648300"";""Twitter:/search/tweets"";""@Rudawkurdish انجا.جيه""",,,
"Rudawkurdish/1509895402790793254;""21695"";""21685"";""1"";""1509895402790793254"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:11.648300"";""Twitter:/search/tweets"";""وەزارەتی ئەوقاف: بە هاوئاهەنگیی لەگەڵ دیوانی وەقفی سوننی چاودێری بینینی مانگ دەکەین https://t.co/WDr8u7ther""",,,
"Rudawkurdish/1509894344685334573;""21696"";""21685"";""1"";""1509894344685334573"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:11.648300"";""Twitter:/search/tweets"";""@itssssbp @salar977 @Rudawkurdish Waysh cope""",,,
"Rudawkurdish/1509890860971970563;""21697"";""21685"";""1"";""1509890860971970563"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:11.648300"";""Twitter:/search/tweets"";""@Rudawkurdish کەڵتوری ئەفغانستان""",,,
"Rudawkurdish/1509889932965392391;""21698"";""21685"";""1"";""1509889932965392391"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:11.648300"";""Twitter:/search/tweets"";""RT @Rudawkurdish: لە مانگی رەمەزان بەرنامەی خەملا وڵات پێشکێش دەکرێت و لە شارەکانی کوردستانەوە بە کولتوورە جیاوازەکان ئاشناتان دەکات   #خەم…""",,,
"Rudawkurdish/1509887058147528710;""21699"";""21685"";""1"";""1509887058147528710"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:11.648300"";""Twitter:/search/tweets"";""RT @Rudawkurdish: بەپەلە  رووسیا ئەم ڤیدیۆیانەی بڵاوکردووەتەوە و دەڵێت، دوو هێلیکۆپتەری ئۆکراینی هەشت کۆگەی سووتەمەنییان لە شاری بێلگۆرۆد ل…""",,,
"Rudawkurdish/1509886070007214083;""21700"";""21685"";""1"";""1509886070007214083"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:11.648300"";""Twitter:/search/tweets"";""لە پرسەیەکدا لە هەولێر دەبێتە شەڕ و سێ کەس بریندار دەبن https://t.co/KZGI3buo0d""",,,
"Rudawkurdish/Rudawkurdish;""21701"";""21685"";""1"";""Rudawkurdish"";""offcut"";"""";""fetched (200)"";""2022-04-01 18:09:11.648300"";""Twitter:/search/tweets"";""""",,,
"Rudawkurdish/1509883361761898500;""21702"";""21685"";""1"";""1509883361761898500"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:12.003404"";""Twitter:/search/tweets"";""@Rudawkurdish بە پلەستەیشن؟!""",,,
"Rudawkurdish/1509880442937298945;""21703"";""21685"";""1"";""1509880442937298945"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:12.003404"";""Twitter:/search/tweets"";""@shoaibkurdi45 @salar977 @Rudawkurdish mwl7ede kam aql har awa qsayate 💀""",,,
"Rudawkurdish/1509880252826279949;""21704"";""21685"";""1"";""1509880252826279949"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:12.003404"";""Twitter:/search/tweets"";""RT @MiranShamall: «کوردستان واتە پێکەوە ژیان، بەو مەرجەی تۆ هەموو شتێکی منت قبوڵ بێ و منیش حسابی تاکێ قۆنەرە بۆ بیر و باوەڕی یەک بەشەر ناکە…""",,,
"Rudawkurdish/1509879940279377931;""21705"";""21685"";""1"";""1509879940279377931"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:12.003404"";""Twitter:/search/tweets"";""RT @Rudawkurdish: بڕیارەکەت پێچۆنە؟  رێگە بە کەس نادرێت لە شوێنە گشتییەکان بە ئاشكرا خواردن و خواردنەوە بخوات و بخواتەوە https://t.co/hk44S…""",,,
